City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
78,Zhezkazgan,47.8043,67.7144,19.45,96,44,3.36,KZ,scattered clouds
79,Baruun-Urt,46.6806,113.2792,27.5,35,100,4.12,MN,overcast clouds
80,Umbauba,-11.3833,-37.6578,75.22,86,80,4.72,BR,broken clouds
81,Brazzaville,-4.2658,15.2832,79.16,83,64,1.14,CG,broken clouds
82,Norman Wells,65.282,-126.8329,6.84,66,75,8.05,CA,light snow
83,Pemangkat,1.1667,108.9667,75.74,89,63,4.38,ID,broken clouds
84,Shadegan,30.6497,48.6647,55.35,23,0,10.94,IR,clear sky
85,Thompson,55.7435,-97.8558,14.16,26,40,0.0,CA,scattered clouds
86,Victoria,22.2855,114.1577,64.94,94,100,8.99,HK,moderate rain
87,Fomboni,-12.28,43.7425,83.5,72,100,7.83,KM,overcast clouds
88,Guantanamo,20.1444,-75.2092,83.77,57,84,14.76,CU,broken clouds
89,Christchurch,-43.5333,172.6333,63.95,79,100,14.97,NZ,overcast clouds
90,Banjar,-8.19,114.9675,77.09,88,100,2.15,ID,overcast clouds
91,Bhadrachalam,17.6667,80.8833,79.38,71,20,3.83,IN,few clouds
92,Sitka,57.0531,-135.33,44.49,65,20,3.44,US,few clouds
93,Kunyang,27.6658,120.5658,49.37,88,100,5.82,CN,overcast clouds
94,Vila Franca Do Campo,37.7167,-25.4333,61.21,85,25,9.64,PT,scattered clouds
95,Takoradi,4.8845,-1.7554,81.25,85,67,6.02,GH,broken clouds
96,Filadelfia,39.9523,-75.1638,39.61,36,100,17.27,US,overcast clouds
97,Morondava,-20.2833,44.2833,78.84,85,14,5.79,MG,few clouds
98,Tiksi,71.6872,128.8694,-6.27,99,100,4.92,RU,overcast clouds
99,Oranjemund,-28.55,16.4333,63.39,67,0,1.95,NA,clear sky
100,Vaini,-21.2,-175.2,84.36,84,40,5.75,TO,scattered clouds
101,Tura,25.5198,90.2201,70.12,55,1,4.16,IN,clear sky
102,Ulundi,-28.3352,31.4162,66.25,96,100,0.96,ZA,light rain
103,Hami,42.8,93.45,48.65,36,100,15.84,CN,overcast clouds
104,Severo-Kurilsk,50.6789,156.125,33.17,90,76,23.62,RU,light snow
105,Atuona,-9.8,-139.0333,79.07,77,52,14.43,PF,broken clouds
106,Portland,45.5234,-122.6762,69.84,60,40,5.75,US,scattered clouds
107,Port Blair,11.6667,92.75,80.74,78,14,6.13,IN,few clouds
108,Loukhi,66.0764,33.0381,-0.18,95,9,2.17,RU,clear sky
109,Punta Alta,-38.8759,-62.0736,66.36,58,0,5.5,AR,clear sky
110,Yulara,-25.2406,130.9889,69.64,23,89,4.61,AU,overcast clouds
111,Dikson,73.5069,80.5464,-17.59,100,13,3.36,RU,few clouds
112,Dingle,10.9995,122.6711,75.72,91,71,7.27,PH,broken clouds
113,Bonavista,48.6499,-53.1147,32.92,96,100,20.47,CA,snow
114,Port Hedland,-20.3167,118.5667,80.65,78,99,6.91,AU,overcast clouds
115,Nome,64.5011,-165.4064,27.1,68,40,9.22,US,scattered clouds
