City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,San Patricio,US,2022-03-26 20:49:03,28.017,-97.5169,91.49,23,4,13.18
67,Mango,US,2022-03-26 20:49:03,27.9797,-82.3065,78.58,56,0,4.61
68,Alofi,NU,2022-03-26 20:49:04,-19.0595,-169.9187,78.69,94,100,6.91
69,Olavarria,AR,2022-03-26 20:49:04,-36.8927,-60.3225,66.02,71,11,7.31
70,Cherskiy,RU,2022-03-26 20:49:05,68.75,161.3,-8.57,97,100,5.82
71,Centralina,BR,2022-03-26 20:49:05,-18.5839,-49.1994,80.56,68,78,3.27
72,Saint George,US,2022-03-26 20:45:00,37.1041,-113.5841,85.42,13,0,3.0
73,Atuona,PF,2022-03-26 20:49:06,-9.8,-139.0333,79.39,76,48,17.49
74,Kieta,PG,2022-03-26 20:49:06,-6.2167,155.6333,78.49,87,97,6.71
75,Tongren,CN,2022-03-26 20:49:07,27.7172,109.1853,50.86,93,100,3.6
76,Faya,SA,2022-03-26 20:49:07,18.3851,42.4509,63.12,47,2,3.62
77,Port Alfred,ZA,2022-03-26 20:49:08,-33.5906,26.891,64.18,86,97,14.34
78,Labuhan,ID,2022-03-26 20:49:08,-6.8844,112.2051,76.39,90,100,6.06
79,Klaksvik,FO,2022-03-26 20:49:09,62.2266,-6.589,47.32,80,100,21.59
80,Kodiak,US,2022-03-26 20:49:09,57.79,-152.4072,38.71,81,75,5.75
81,Callaway,US,2022-03-26 20:49:10,30.153,-85.5699,73.45,52,0,17.27
82,Miri,MY,2022-03-26 20:49:10,4.4148,114.0089,78.94,94,40,3.44
83,Butaritari,KI,2022-03-26 20:49:11,3.0707,172.7902,81.68,72,100,12.73
84,Prichard,US,2022-03-26 20:47:02,30.7388,-88.0789,78.35,30,0,9.22
85,Issa,RU,2022-03-26 20:49:12,53.8705,44.8578,35.24,99,100,13.33
86,San Juan,AR,2022-03-26 20:46:32,-31.5375,-68.5364,83.77,12,0,3.78
87,Pevek,RU,2022-03-26 20:49:13,69.7008,170.3133,-2.38,96,99,8.37
88,Geraldton,AU,2022-03-26 20:49:13,-28.7667,114.6,72.01,88,40,6.91
89,Oudtshoorn,ZA,2022-03-26 20:49:14,-33.5907,22.2014,57.56,81,5,3.36
90,Tuktoyaktuk,CA,2022-03-26 20:49:15,69.4541,-133.0374,-9.4,70,75,11.5
91,Castro,BR,2022-03-26 20:49:15,-24.7911,-50.0119,68.97,85,96,5.46
92,Hualmay,PE,2022-03-26 20:50:16,-11.0964,-77.6139,73.74,74,99,8.5
93,Garissa,KE,2022-03-26 20:50:16,-0.4536,39.6401,79.38,74,96,12.93
94,Broken Hill,AU,2022-03-26 20:50:17,-31.95,141.4333,62.31,63,0,11.5
95,Vila Franca Do Campo,PT,2022-03-26 20:50:17,37.7167,-25.4333,59.41,89,100,21.16
96,Yellowknife,CA,2022-03-26 20:50:18,62.456,-114.3525,3.72,47,75,13.8
97,Tezu,IN,2022-03-26 20:50:18,27.9167,96.1667,64.78,89,98,5.12
98,Saldanha,ZA,2022-03-26 20:50:18,-33.0117,17.9442,68.05,82,65,6.51
99,Abu Dhabi,AE,2022-03-26 20:50:19,24.4667,54.3667,75.31,70,0,9.22
100,Kruisfontein,ZA,2022-03-26 20:50:20,-34.0033,24.7314,62.89,92,56,2.44
101,Albany,US,2022-03-26 20:47:37,42.6001,-73.9662,47.88,79,96,8.3
102,Bluff,NZ,2022-03-26 20:50:20,-46.6,168.3333,55.69,79,49,1.63
103,Kapaa,US,2022-03-26 20:50:21,22.0752,-159.319,79.2,63,20,16.11
104,Karasjok,NO,2022-03-26 20:50:22,69.4719,25.5112,6.71,82,3,8.23
105,Oksfjord,NO,2022-03-26 20:50:22,70.2396,22.3479,25.0,76,100,10.2
106,Kangasala,FI,2022-03-26 20:50:23,61.4638,24.076,27.14,58,21,13.8
107,Deputatskiy,RU,2022-03-26 20:47:33,69.3,139.9,-14.75,96,49,6.64
108,Broome,US,2022-03-26 20:50:24,42.2506,-75.833,48.69,58,20,12.66
109,Airai,TL,2022-03-26 20:50:24,-8.9266,125.4092,58.68,88,81,1.16
110,Karratha,AU,2022-03-26 20:50:25,-20.7377,116.8463,82.6,71,58,10.65
111,Kroonstad,ZA,2022-03-26 20:50:25,-27.6504,27.2349,59.7,40,0,2.44
112,Paita,PE,2022-03-26 20:50:26,-5.0892,-81.1144,77.13,66,100,8.25
113,East London,ZA,2022-03-26 20:50:26,-33.0153,27.9116,66.96,88,96,10.58
114,Chuy,UY,2022-03-26 20:50:27,-33.6971,-53.4616,69.82,66,61,13.65
115,Mar Del Plata,AR,2022-03-26 20:48:41,-38.0023,-57.5575,64.42,94,100,14.0
116,Hobart,AU,2022-03-26 20:47:09,-42.8794,147.3294,55.22,94,20,4.61
117,Saint-Philippe,RE,2022-03-26 20:50:28,-21.3585,55.7679,76.59,85,25,7.63
118,Tasiilaq,GL,2022-03-26 20:50:28,65.6145,-37.6368,18.3,64,2,3.58
119,Iqaluit,CA,2022-03-26 20:50:29,63.7506,-68.5145,22.73,85,20,12.66
120,Fort Saint James,CA,2022-03-26 20:50:29,54.4333,-124.25,38.48,82,100,3.89
121,Faanui,PF,2022-03-26 20:50:30,-16.4833,-151.75,81.9,73,12,13.6
122,Sibolga,ID,2022-03-26 20:50:30,1.7427,98.7792,75.2,82,28,4.41
123,Iranshahr,IR,2022-03-26 20:50:31,27.2025,60.6848,82.74,21,0,4.61
124,Presidencia Roque Saenz Pena,AR,2022-03-26 20:50:31,-26.7852,-60.4388,77.67,52,0,3.24
125,Sozimskiy,RU,2022-03-26 20:50:32,59.7418,52.2482,32.45,97,100,14.72
126,Bredasdorp,ZA,2022-03-26 20:50:33,-34.5322,20.0403,63.73,74,70,12.1
127,Ayan,RU,2022-03-26 20:50:33,56.45,138.1667,8.8,86,18,7.56
128,Bourail,NC,2022-03-26 20:50:34,-21.5667,165.4833,75.78,74,100,3.29
129,Frankfurt,DE,2022-03-26 20:48:29,50.1167,8.6833,57.49,54,0,11.5
130,Padang,ID,2022-03-26 20:50:35,-0.9492,100.3543,75.63,82,7,4.97
131,Sargur,IN,2022-03-26 20:50:35,11.9833,76.4167,74.64,80,2,3.87
132,Kulhudhuffushi,MV,2022-03-26 20:50:36,6.6221,73.07,81.45,67,0,3.51
133,Ukiah,US,2022-03-26 20:50:37,39.1502,-123.2078,78.44,42,0,4.61
134,Kemin,KG,2022-03-26 20:50:37,42.7846,75.6892,42.42,96,94,7.05
135,Mackenzie,CA,2022-03-26 20:50:38,55.2999,-123.1698,37.62,52,0,5.75
136,Tuatapere,NZ,2022-03-26 20:51:38,-46.1333,167.6833,54.7,84,29,1.1
137,Turukhansk,RU,2022-03-26 20:51:39,65.8167,87.9833,18.16,96,100,6.51
138,Lebu,CL,2022-03-26 20:51:39,-37.6167,-73.65,60.66,71,72,5.01
139,Korla,CN,2022-03-26 20:51:39,41.7597,86.1469,44.6,51,74,3.0
140,Bari,IT,2022-03-26 20:51:40,41.1177,16.8512,56.26,63,0,6.91
141,Katsuura,JP,2022-03-26 20:51:40,35.1333,140.3,59.02,95,100,12.66
142,Lasa,IT,2022-03-26 20:51:41,46.6166,10.7002,46.02,66,5,0.98
143,Thompson,CA,2022-03-26 20:51:41,55.7435,-97.8558,1.56,42,0,13.8
144,Arlit,NE,2022-03-26 20:51:41,18.7369,7.3853,81.37,9,57,12.26
145,Correntina,BR,2022-03-26 20:51:42,-13.3433,-44.6367,82.31,44,16,1.28
146,Escarcega,MX,2022-03-26 20:51:42,18.6089,-90.7454,83.35,33,90,6.53
147,Tayu,ID,2022-03-26 20:51:43,-6.5397,111.0518,75.96,88,100,6.91
148,Nikolskoye,RU,2022-03-26 20:51:43,59.7035,30.7861,24.71,85,100,19.86
149,Kharan,PK,2022-03-26 20:51:44,28.5833,65.4167,76.84,14,0,8.23
150,Tautira,PF,2022-03-26 20:51:44,-17.7333,-149.15,81.37,75,64,13.91
151,Talnakh,RU,2022-03-26 20:51:44,69.4865,88.3972,18.21,78,95,4.25
152,Puerto Del Rosario,ES,2022-03-26 20:51:45,28.5004,-13.8627,64.15,77,20,6.91
153,Rio Grande,BR,2022-03-26 20:46:56,-32.035,-52.0986,73.51,64,87,14.83
154,Samarai,PG,2022-03-26 20:51:45,-10.6167,150.6667,82.29,74,100,4.32
155,Almaznyy,RU,2022-03-26 20:51:46,48.0448,40.045,41.18,68,74,25.28
156,Basco,PH,2022-03-26 20:51:47,20.4487,121.9702,80.33,79,0,4.97
157,Opuwo,NA,2022-03-26 20:51:47,-18.0607,13.84,68.68,44,3,4.23
158,Kenai,US,2022-03-26 20:51:47,60.5544,-151.2583,37.49,60,20,6.91
159,Fortuna,US,2022-03-26 20:48:02,40.5982,-124.1573,63.93,74,0,11.5
160,Tevaitoa,PF,2022-03-26 20:51:48,-16.7833,-151.5,81.93,73,21,13.47
161,Jatiroto,ID,2022-03-26 20:51:49,-7.8833,111.1167,72.5,94,100,1.3
162,Sola,VU,2022-03-26 20:51:49,-13.8833,167.55,82.72,72,97,8.63
163,Souillac,MU,2022-03-26 20:51:50,-20.5167,57.5167,79.18,89,20,5.75
164,Mahebourg,MU,2022-03-26 20:51:50,-20.4081,57.7,79.25,89,20,5.75
165,Hokitika,NZ,2022-03-26 20:50:08,-42.7167,170.9667,62.49,58,6,2.95
166,Nome,US,2022-03-26 20:51:51,64.5011,-165.4064,17.17,85,0,0.0
167,Marawi,PH,2022-03-26 20:51:51,7.9986,124.2928,67.41,98,100,3.09
168,Ahipara,NZ,2022-03-26 20:51:51,-35.1667,173.1667,68.09,70,0,7.07
169,San Alfonso,PH,2022-03-26 20:51:52,7.7803,126.4203,75.38,96,100,3.44
170,Mwinilunga,ZM,2022-03-26 20:51:53,-11.7358,24.4293,62.74,96,100,1.14
171,Eten,PE,2022-03-26 20:51:53,-6.9081,-79.8642,77.25,61,0,16.11
172,Husavik,IS,2022-03-26 20:51:53,66.0449,-17.3389,41.5,88,100,14.7
173,Muros,ES,2022-03-26 20:51:54,42.7762,-9.0603,57.09,83,100,5.39
174,Lewistown,US,2022-03-26 20:51:54,40.5992,-77.5714,43.81,84,40,21.85
175,Portland,US,2022-03-26 20:47:35,45.5234,-122.6762,68.09,67,75,6.91
176,Coquimbo,CL,2022-03-26 20:51:47,-29.9533,-71.3436,65.93,68,0,11.5
177,Nanortalik,GL,2022-03-26 20:52:55,60.1432,-45.2371,27.88,85,6,2.57
178,Isangel,VU,2022-03-26 20:52:56,-19.55,169.2667,79.95,75,94,9.64
179,Aksu,CN,2022-03-26 20:52:56,41.1231,80.2644,47.59,50,58,4.79
180,Millau,FR,2022-03-26 20:52:57,44.0833,2.9167,50.13,60,17,7.36
181,Norman Wells,CA,2022-03-26 20:52:57,65.282,-126.8329,5.04,51,20,9.22
182,Labuan,MY,2022-03-26 20:52:57,5.2767,115.2417,75.56,100,40,1.14
183,Pavlovsk,RU,2022-03-26 20:52:58,50.4578,40.1081,42.3,86,100,19.13
184,San Jose,US,2022-03-26 20:48:57,37.3394,-121.895,78.44,51,40,13.8
185,Nizhniy Kuranakh,RU,2022-03-26 20:52:59,58.8353,125.4869,-2.33,100,96,2.13
186,Namibe,AO,2022-03-26 20:51:59,-15.1961,12.1522,72.59,76,10,8.1
187,Mao,ES,2022-03-26 20:52:59,39.8885,4.2658,55.96,94,75,13.8
188,Thanh Hoa,VN,2022-03-26 20:53:00,19.8,105.7667,74.43,91,6,8.72
189,Shostka,UA,2022-03-26 20:53:00,51.863,33.4698,37.17,59,96,19.95
190,Ginir,ET,2022-03-26 20:53:01,7.1333,40.7,61.84,67,62,3.89
191,Hasaki,JP,2022-03-26 20:52:28,35.7333,140.8333,61.29,89,100,9.82
192,Paamiut,GL,2022-03-26 20:53:01,61.994,-49.6678,24.64,85,3,9.95
193,Sao Filipe,CV,2022-03-26 20:53:02,14.8961,-24.4956,70.29,75,52,10.85
194,Esperance,AU,2022-03-26 20:53:02,-33.8667,121.9,66.04,90,100,8.01
195,Tessalit,ML,2022-03-26 20:53:03,20.1986,1.0114,89.06,10,100,15.37
196,Manaure,CO,2022-03-26 20:53:03,11.7751,-72.4445,83.46,69,94,20.62
197,Adrar,MR,2022-03-26 20:53:04,20.5022,-10.0711,75.74,16,10,4.16
198,Mizdah,LY,2022-03-26 20:53:04,31.4451,12.9801,63.9,15,25,8.72
199,La Ronge,CA,2022-03-26 20:53:05,55.1001,-105.2842,3.42,35,0,6.91
200,Kutum,SD,2022-03-26 20:53:05,14.2,24.6667,63.14,12,2,14.88
201,Kununurra,AU,2022-03-26 20:48:48,-15.7667,128.7333,75.18,94,71,4.61
202,Varnamo,SE,2022-03-26 20:53:06,57.186,14.04,34.27,72,77,4.21
203,Cayenne,GF,2022-03-26 20:53:07,4.9333,-52.3333,81.09,1,75,8.99
